store_id,name_salon,star,review,pop_score,price,seats,access,link_detail
slnH000422921,hair salon b.【ヘアサロン ビー】,4.88,18.0,14.37,5200.0,2.0,犀川、下菊橋より小立野方面に約300m,https://beauty.hotpepper.jp/slnH000422921/
slnH000330208,hair face Lindo【ヘアーフェイス　リンド】,4.8,45.0,18.38,5500.0,3.0,松田産婦人科通り沿い。長町会館ななめ向い。長町西信号近く,https://beauty.hotpepper.jp/slnH000330208/
slnH000368114,Hair Salon ％,5.0,19.0,14.98,4950.0,4.0,片町バス停徒歩3分/タテマチストリート沿い/堅町広場近く,https://beauty.hotpepper.jp/slnH000368114/
slnH000496231,Look,4.97,68.0,21.04,6000.0,5.0,■竪町ストリート　OVAL2階　■北鉄バス「片町」（片町きらら前）徒歩4分,https://beauty.hotpepper.jp/slnH000496231/
slnH000221283,shinna（旧：４ｃｍ【ヨンセンチメートル】広坂店）,4.54,38.0,16.63,4950.0,8.0,香林坊、金沢21世紀美術館、兼六園近く髪質改善専門店エリアNo.1,https://beauty.hotpepper.jp/slnH000221283/
slnH000745515,Mista金沢田上店　ハイトーンカラー＆メンズパーマ特化サロン【ミスタ】,5.0,3.0,6.93,4800.0,1.0,もりのさとイオンから徒歩5分,https://beauty.hotpepper.jp/slnH000745515/
slnH000038482,pulis　HAIR,5.0,3.0,6.93,4400.0,6.0,南町交差点スグソコ、南町バス停徒歩３０秒。駐車代割引有り。,https://beauty.hotpepper.jp/slnH000038482/
slnH000038485,nati【ナティ】,4.97,80.0,21.84,5280.0,3.0,竪町広場徒歩2分/【鱗町】金沢ＡＺホール近く,https://beauty.hotpepper.jp/slnH000038485/
slnH000297094,couleur 【クルール】,4.78,26.0,15.75,4860.0,13.0,【田上】山側環状道路沿いカーマホームセンター近く,https://beauty.hotpepper.jp/slnH000297094/
slnH000495223,eto,4.97,83.0,22.02,6600.0,8.0,金沢駅から徒歩18分,https://beauty.hotpepper.jp/slnH000495223/
slnH000410794,Cross 【クロス】,4.67,13.0,12.32,3850.0,3.0,山側環状沿い/ユニクロ近く,https://beauty.hotpepper.jp/slnH000410794/
slnH000253389,ａｌａｍａｎａ,4.97,77.0,21.65,5000.0,3.0,香林坊　せせらぎ通り　エクセル東急ホテル・東急スクエア裏,https://beauty.hotpepper.jp/slnH000253389/
slnH000646964,like better,4.84,31.0,16.77,5500.0,5.0,片町きららから徒歩３分、竪町ストリート沿い,https://beauty.hotpepper.jp/slnH000646964/
slnH000485232,MAEDA hair salon,5.0,13.0,13.2,3600.0,3.0,北鉄バス《兼六園下・金沢城》から徒歩２分,https://beauty.hotpepper.jp/slnH000485232/
slnH000326448,hair&make SNIP【スニップ】,4.97,140.0,24.6,3900.0,6.0,イオン杜の里近く　北陸銀行さん隣り,https://beauty.hotpepper.jp/slnH000326448/
slnH000714346,Hair salon TANAKA,5.0,2.0,5.49,,,金沢駅から車で8分,https://beauty.hotpepper.jp/slnH000714346/
slnH000371544,seata,4.85,69.0,20.61,4800.0,3.0,イオン 金沢杜の里店から徒歩5分,https://beauty.hotpepper.jp/slnH000371544/
slnH000584270,so-Life　【ソーライフ】,4.6,46.0,17.71,4840.0,4.0,天徳院前のバス停すぐ,https://beauty.hotpepper.jp/slnH000584270/
slnH000369227,Lamp hair,5.0,11.0,12.42,3300.0,3.0,クスリのアオキ鈴見店様向かい,https://beauty.hotpepper.jp/slnH000369227/
slnH000246155,K A T Z H A I R,5.0,27.0,16.66,5200.0,12.0,21世紀美術館から徒歩5分//タテマチストリート隣接//片町キララ徒歩3分,https://beauty.hotpepper.jp/slnH000246155/
slnH000643359,ヘアエクステ専門店coco extension香林坊店,5.0,4.0,8.05,4400.0,,香林坊、金沢21世紀美術館、兼六園近く[/シールエクステ//ハイライト/ブリーチ],https://beauty.hotpepper.jp/slnH000643359/
slnH000719250,カラー＆ヘッドスパ専門店 E’CLAT【エクラ】,5.0,3.0,6.93,,1.0,田上町北交差点近く（最寄りのバス山環田上/北陸鉄道バス田上さくら　徒歩10分程）,https://beauty.hotpepper.jp/slnH000719250/
slnH000320025,hair dresser's Mum 【マム】,4.73,391.0,28.24,4950.0,4.0,片町近く、鞍月舎1階　[白髪染め/白髪ぼかし/ハイライト/ヘッドスパ/メンズカット],https://beauty.hotpepper.jp/slnH000320025/
slnH000189364,6 ETHAN BARBER PROJECT,4.67,5.0,8.37,5500.0,3.0,野町駅／香林坊バス停から徒歩5分,https://beauty.hotpepper.jp/slnH000189364/
slnH000236834,mod's hair 金沢店 【モッズ・ヘア】,4.94,69.0,20.99,5500.0,10.0,片町バス停 徒歩3分/マクドナルド、時蔵さん隣【金沢・片町】,https://beauty.hotpepper.jp/slnH000236834/
slnH000221996,Ｐｅｔｉｔ　Ｐａｓ,4.85,23.0,15.41,4400.0,1.0,鱗町交差点すぐそば,https://beauty.hotpepper.jp/slnH000221996/
slnH000474784,とこtoco,4.0,13.0,10.56,3300.0,5.0,山側環状　田上交差点  太陽が丘 湯涌方面に50メートルほど左側,https://beauty.hotpepper.jp/slnH000474784/
slnH000622909,Alter,4.96,181.0,25.81,5000.0,4.0,片町きららから徒歩5分,https://beauty.hotpepper.jp/slnH000622909/
slnH000497547,set salon HEADZ【セットサロン　ヘッズ】,4.66,60.0,19.16,1500.0,6.0,竪町ストリートをマクドナルド側から入り、１つ目の交差点右すぐ(スタッフ募集中),https://beauty.hotpepper.jp/slnH000497547/
slnH000324032,ヘアセットサロンEdge,5.0,8.0,10.99,,5.0,片町スクランブルより徒歩3分／金沢駅より北鉄バス15分／,https://beauty.hotpepper.jp/slnH000324032/
slnH000399296,みどり美粧院,4.88,31.0,16.91,4400.0,5.0,【南町バス停徒歩1分】金沢駅・香林坊からのアクセスも◎,https://beauty.hotpepper.jp/slnH000399296/
slnH000638247,メンズサロン　 an-ciel【アンシェル】,4.97,36.0,17.95,4950.0,9.0,"香林坊バス停より徒歩5分,大人気スパイキーショート,スペインカール,フェザーショート",https://beauty.hotpepper.jp/slnH000638247/
slnH000702243,hauto【ハウト】,4.97,31.0,17.22,5500.0,2.0,片町スクランブルから車で10分,https://beauty.hotpepper.jp/slnH000702243/
slnH000444708,Ｂｌｏｏｍ　ｂｅａｕｔｙ　ｂａｒ　【ブルーム ビューティー バー】,4.5,14.0,12.19,8250.0,2.0,金沢/長町【初回50%OFF！高技術】    片町/竪町/香林坊/武蔵/南町/長土塀/金沢市/東京,https://beauty.hotpepper.jp/slnH000444708/
slnH000443905,Hair make egg by 246【ヘアメイク エッグ】,4.6,125.0,22.25,4400.0,4.0,【杜の里近く】鈴見交差点・浅野川そば,https://beauty.hotpepper.jp/slnH000443905/
slnH000213560,beauriche,5.0,2.0,5.49,5280.0,4.0,駅近/南町バス停から徒歩3分//玉川図書館 せせらぎ通り　周辺,https://beauty.hotpepper.jp/slnH000213560/
slnH000537923,SAMSON＆DELILA　JL,4.67,22.0,14.64,5000.0,6.0,イオンもりの里店から車で2分,https://beauty.hotpepper.jp/slnH000537923/
slnH000692049,Ｃａｆｕｎｅ’金沢【カフネ】　髪質改善＆韓国へア特化サロン,5.0,6.0,9.73,5000.0,1.0,イオン 金沢杜の里店から徒歩5分,https://beauty.hotpepper.jp/slnH000692049/
slnH000135769,RED　CUBE,5.0,21.0,15.46,4320.0,2.0,田上ローソン近く,https://beauty.hotpepper.jp/slnH000135769/
slnH000445799,hairsalon midi,5.0,2.0,5.49,4800.0,2.0,金沢駅から車で10分,https://beauty.hotpepper.jp/slnH000445799/
slnH000420503,hair design kigou【キゴウ】,4.5,26.0,14.83,5280.0,3.0,田上本町北交差点そば,https://beauty.hotpepper.jp/slnH000420503/
slnH000523700,Eimmy,5.0,3.0,6.93,5500.0,2.0,もりのさと朝霧台田上方面　最寄りバス停田上一丁目から徒歩１分/加賀田上から徒歩2分,https://beauty.hotpepper.jp/slnH000523700/
